key,total_sent,TRUE_polar_ans,FALSE_polar_ans,accuracy,TP,TN,FP,FN,total_opinion,Positive,Negative
oyster,32,27,5,84.38%,24,3,1,4,37,31,6
food,18,14,4,77.78%,11,3,2,2,21,13,8
place,15,13,2,86.67%,12,1,1,1,15,12,3
service,9,8,1,88.89%,8,0,1,0,11,11,0
gumbo,8,6,2,75.00%,4,2,0,2,8,5,3
staff,5,3,2,60.00%,3,0,1,1,8,6,2
experience,5,4,1,80.00%,2,2,0,1,6,3,3
server,5,5,0,100.00%,4,1,0,0,6,5,1
line,5,3,2,60.00%,1,2,0,2,6,1,5
atmosphere,5,5,0,100.00%,3,2,0,0,5,3,2
wait,5,3,2,60.00%,2,1,0,2,5,2,3
chargrilled,5,5,0,100.00%,5,0,0,0,5,5,0
everything,4,3,1,75.00%,3,0,0,1,6,4,2
seafood,4,3,1,75.00%,2,1,0,1,4,2,2
price,4,4,0,100.00%,3,1,0,0,4,3,1
jambalaya,4,3,1,75.00%,1,2,0,1,4,3,1
crab,3,3,0,100.00%,3,0,0,0,4,4,0
review,3,3,0,100.00%,2,1,0,0,3,2,1
shrimp,3,2,1,66.67%,2,0,0,1,3,2,1
restaurant,3,3,0,100.00%,3,0,0,0,3,3,0
fish,2,1,1,50.00%,1,0,0,1,3,1,2
po,2,2,0,100.00%,2,0,0,0,3,3,0
boy,2,2,0,100.00%,2,0,0,0,3,3,0
sauce,2,2,0,100.00%,2,0,0,0,3,3,0
bar,2,2,0,100.00%,1,1,0,0,2,1,1
medley,2,2,0,100.00%,1,1,0,0,2,2,0
beans,2,2,0,100.00%,1,1,0,0,2,1,1
charbroiled,2,1,1,50.00%,1,0,0,1,2,1,1
amount,2,2,0,100.00%,2,0,0,0,2,2,0
people,2,2,0,100.00%,2,0,0,0,2,2,0
fried,2,2,0,100.00%,2,0,0,0,2,2,0
spot,2,2,0,100.00%,1,1,0,0,2,1,1
options,2,2,0,100.00%,2,0,0,0,2,2,0
grilled,2,1,1,50.00%,0,1,1,0,2,1,1
local,1,1,0,100.00%,1,0,0,0,2,2,0
acme,1,1,0,100.00%,1,0,0,0,2,2,0
house,1,1,0,100.00%,1,0,0,0,2,2,0
host,1,1,0,100.00%,1,0,0,0,2,2,0
noon,1,1,0,100.00%,1,0,0,0,2,2,0
entire,1,0,1,0.00%,0,0,0,1,2,0,2
overall,1,0,1,0.00%,0,0,0,1,2,1,1
shucker,1,1,0,100.00%,1,0,0,0,1,1,0
headache,1,1,0,100.00%,0,1,0,0,1,0,1
wet,1,1,0,100.00%,1,0,0,0,1,1,0
toes,1,1,0,100.00%,1,0,0,0,1,1,0
hair,1,1,0,100.00%,1,0,0,0,1,1,0
fast,1,1,0,100.00%,1,0,0,0,1,1,0
platter,1,1,0,100.00%,1,0,0,0,1,1,0
fan,1,0,1,0.00%,0,0,0,1,1,0,1
vibes,1,1,0,100.00%,1,0,0,0,1,1,0
smell,1,0,1,0.00%,0,0,1,0,1,1,0
well,1,1,0,100.00%,0,1,0,0,1,0,1
plates,1,1,0,100.00%,1,0,0,0,1,1,0
rice,1,1,0,100.00%,0,1,0,0,1,0,1
meal,1,0,1,0.00%,0,0,1,0,1,1,0
street,1,1,0,100.00%,0,1,0,0,1,0,1
parking,1,1,0,100.00%,0,1,0,0,1,0,1
timing,1,1,0,100.00%,1,0,0,0,1,1,0
garlic,1,1,0,100.00%,1,0,0,0,1,1,0
environment,1,0,1,0.00%,0,0,0,1,1,0,1
quality,1,1,0,100.00%,0,1,0,0,1,0,1
cheese,1,1,0,100.00%,1,0,0,0,1,1,0
mkt,1,1,0,100.00%,1,0,0,0,1,1,0
shooter,1,1,0,100.00%,1,0,0,0,1,1,0
charred,1,0,1,0.00%,0,0,0,1,1,0,1
item,1,1,0,100.00%,1,0,0,0,1,1,0
texture,1,1,0,100.00%,1,0,0,0,1,1,0
cravings,1,1,0,100.00%,1,0,0,0,1,1,0
cakes,1,1,0,100.00%,1,0,0,0,1,1,0
lots,1,1,0,100.00%,1,0,0,0,1,1,0
crabmeat,1,1,0,100.00%,1,0,0,0,1,1,0
long,1,1,0,100.00%,1,0,0,0,1,0,1
maker,1,1,0,100.00%,1,0,0,0,1,1,0
poboy,1,1,0,100.00%,1,0,0,0,1,1,0
rest,1,1,0,100.00%,1,0,0,0,1,0,1
etouffé,1,0,1,0.00%,0,0,0,1,1,1,0
waitress,1,1,0,100.00%,1,0,0,0,1,1,0
claws,1,1,0,100.00%,1,0,0,0,1,1,0
suggestion,1,1,0,100.00%,1,0,0,0,1,1,0
homes,1,1,0,100.00%,1,0,0,0,1,1,0
bussers,1,1,0,100.00%,1,0,0,0,1,1,0
corn,1,1,0,100.00%,1,0,0,0,1,1,0
chowder,1,1,0,100.00%,1,0,0,0,1,1,0
etouffee,1,1,0,100.00%,0,1,0,0,1,1,0
orleans,1,1,0,100.00%,1,0,0,0,1,1,0
whole,1,1,0,100.00%,0,1,0,0,1,0,1
ambiance,1,1,0,100.00%,1,0,0,0,1,1,0
visit,1,1,0,100.00%,0,1,0,0,1,0,1
waiting,1,1,0,100.00%,1,0,0,0,1,1,0
portions,1,1,0,100.00%,0,1,0,0,1,0,1
also,1,1,0,100.00%,0,1,0,0,1,0,1
pretentiousness,1,1,0,100.00%,0,1,0,0,1,0,1
sandwich,1,1,0,100.00%,1,0,0,0,1,1,0
charbbq,1,1,0,100.00%,1,0,0,0,1,1,0
soooooo,1,1,0,100.00%,1,0,0,0,1,1,0
